epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,820.214,0.93106,0.69169,1.13748,0.55676,0.49121,0.47247,0.28855,1.28972,1.31434,1.43415,0.00045285,0.00045285,0.00045285
71,831.679,0.91332,0.68342,1.14091,0.58477,0.477,0.49332,0.29292,1.29338,1.32586,1.43169,0.000438703,0.000438703,0.000438703
72,843.167,0.90047,0.66446,1.13338,0.61307,0.50364,0.52016,0.30516,1.29028,1.29126,1.42921,0.000424556,0.000424556,0.000424556
73,854.559,0.89221,0.66441,1.12134,0.65273,0.44536,0.5004,0.30466,1.29723,1.32002,1.44072,0.000410409,0.000410409,0.000410409
74,866.091,0.89757,0.67063,1.11948,0.59992,0.48243,0.51639,0.31081,1.29129,1.33529,1.42728,0.000396262,0.000396262,0.000396262
75,877.471,0.88676,0.65181,1.12122,0.53976,0.49537,0.50408,0.30495,1.30134,1.33282,1.44266,0.000382115,0.000382115,0.000382115
76,888.931,0.89062,0.65368,1.11791,0.60011,0.48662,0.50447,0.30245,1.30079,1.30571,1.44449,0.000367967,0.000367967,0.000367967
77,900.457,0.87713,0.65037,1.11902,0.59005,0.4723,0.48798,0.29774,1.2956,1.31057,1.43837,0.00035382,0.00035382,0.00035382
78,912.079,0.8616,0.63565,1.10808,0.57106,0.48408,0.49717,0.30216,1.28217,1.31372,1.43301,0.000339673,0.000339673,0.000339673
79,923.605,0.88537,0.65395,1.10687,0.55137,0.49626,0.49562,0.30715,1.28321,1.30187,1.43475,0.000325526,0.000325526,0.000325526
80,935.211,0.87194,0.63911,1.11637,0.57862,0.50011,0.51109,0.30584,1.28565,1.31351,1.43666,0.000311379,0.000311379,0.000311379
81,946.771,0.86785,0.64035,1.10275,0.60164,0.46486,0.5077,0.31574,1.26884,1.28975,1.41377,0.000297232,0.000297232,0.000297232
82,958.352,0.85408,0.61502,1.10154,0.60312,0.47439,0.50851,0.31306,1.28844,1.33383,1.4261,0.000283085,0.000283085,0.000283085
83,969.914,0.86236,0.62508,1.10311,0.64029,0.46776,0.5163,0.31796,1.29262,1.27611,1.44278,0.000268938,0.000268938,0.000268938
84,981.53,0.85231,0.6107,1.09817,0.57098,0.48542,0.50141,0.30681,1.29238,1.3264,1.43672,0.000254791,0.000254791,0.000254791
